epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
65,733.052,0.36312,0.4774,0.37715,0.82875,0,0.94856,0.94565,0.97297,0.8092,0.9357,0.93282,0.9489,0.86376,0.46775,1.03465,0.42657,0.83016,0,0.000588479,0.000588479,0.000588479
66,744.385,0.35164,0.50138,0.36988,0.82842,0,0.93419,0.90993,0.93903,0.81292,0.94588,0.91026,0.93906,0.8263,0.43778,1.21818,0.63044,0.82568,0,0.000560549,0.000560549,0.000560549
67,755.632,0.35807,0.49873,0.37306,0.83332,0,0.96696,0.89744,0.93465,0.81581,0.9377,0.88462,0.92895,0.83915,0.44632,1.24925,0.61402,0.8113,0,0.000533064,0.000533064,0.000533064
68,767.656,0.3598,0.50395,0.37712,0.82696,0,0.95782,0.92308,0.94537,0.80531,0.94452,0.91026,0.94086,0.85211,0.46375,0.99971,0.55868,0.82201,0,0.000506049,0.000506049,0.000506049
69,779.07,0.35665,0.49819,0.37316,0.82918,0,0.98173,0.89744,0.96651,0.82399,0.95358,0.87179,0.93576,0.85328,0.4541,0.94789,0.46421,0.82917,0,0.000479531,0.000479531,0.000479531
70,790.376,0.34318,0.4555,0.36241,0.82912,0,0.97324,0.93262,0.96282,0.83155,0.94336,0.89744,0.93622,0.85647,0.43707,0.89141,0.55191,0.81337,0,0.000453537,0.000453537,0.000453537
71,802.033,0.32274,0.46109,0.34213,0.81827,0,0.98351,0.89744,0.9433,0.82444,0.95824,0.88263,0.94096,0.866,0.41421,0.92891,0.50456,0.81408,0,0.000428093,0.000428093,0.000428093
72,813.28,0.32962,0.48173,0.35929,0.82681,0,0.98648,0.93534,0.97825,0.85208,0.94488,0.91026,0.9473,0.85951,0.40231,0.87762,0.42233,0.80871,0,0.000403222,0.000403222,0.000403222
73,824.786,0.33629,0.49162,0.3581,0.821,0,0.94927,0.95966,0.97426,0.87917,0.93476,0.9359,0.95136,0.86306,0.38156,0.99974,0.44021,0.80928,0,0.00037895,0.00037895,0.00037895
74,836.012,0.32629,0.47903,0.33796,0.82654,0,0.9954,0.91026,0.97893,0.85143,0.96944,0.89744,0.95448,0.84276,0.43672,0.95558,0.45689,0.80922,0,0.000355301,0.000355301,0.000355301
75,847.181,0.31656,0.45966,0.34037,0.82077,0,0.95284,0.9359,0.97818,0.83308,0.95284,0.9359,0.96698,0.88667,0.43601,0.79617,0.4135,0.81349,0,0.000332298,0.000332298,0.000332298
76,858.446,0.3096,0.42181,0.32526,0.82628,0,0.95287,0.9359,0.96666,0.84724,0.98003,0.92308,0.96906,0.89647,0.41245,0.73918,0.40154,0.80886,0,0.000309964,0.000309964,0.000309964
77,869.656,0.30854,0.44212,0.3383,0.82513,0,0.96029,0.93013,0.98403,0.84915,0.9523,0.89744,0.9507,0.88737,0.41408,0.77587,0.40222,0.80886,0,0.000288321,0.000288321,0.000288321
